Ticket #,Customer Complaint,Category,Date,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone,Estimated time of resolution
370363,COMCAST!,Miscellaneous,27-06-2015,18:37:29,Internet,Alexandria,Virginia,22305,closed,No,05-07-2015
270163,bait and switch,Miscellaneous,05-02-2015,15:55:24,Internet,Algonquin,Illinois,60102,open,Yes,
355976,Comcast Customer Service,Miscellaneous,22-06-2015,14:10:39,Internet,Aliquippa,Pennsylvania,15001,open,No,
260651,Apartment Management's Exclusivity Contract with Comcast,Miscellaneous,28-04-2015,08:01:46,Customer Care Call,Allston,Massachusetts,2134,closed,No,07-05-2015
305340,Unable to reach a Comcast agent for internet and billing issues.,Billing issues,24-05-2015,14:57:47,Customer Care Call,Aloha,Oregon,97006,closed,No,01-06-2015
360759,Wifi internet not working as well,Speed issues,24-06-2015,02:23:23,Internet,Aloha,Oregon,97006,open,No,
265487,Comcast data caps,Miscellaneous,29-04-2015,21:40:19,Internet,Alpharetta,Georgia,30022,closed,No,07-05-2015
296608,Comcast Internet Data Cap,Miscellaneous,19-05-2015,10:56:20,Internet,Alpharetta,Georgia,30022,closed,No,30-05-2015
310990,XFINITY Movers Edge program,Miscellaneous,28-05-2015,10:37:13,Customer Care Call,Alpharetta,Georgia,30022,closed,No,07-06-2015
325342,Comcast Data Internet Usage,Miscellaneous,06-05-2015,13:25:58,Internet,Alpharetta,Georgia,30022,closed,No,20-05-2015
337489,Comcast not refunding my credit,Miscellaneous,06-12-2015,15:59:57,Internet,Alpharetta,Georgia,30005,closed,No,21-12-2015
354116,Comcast,Miscellaneous,20-06-2015,17:03:09,Internet,Alpharetta,Georgia,30022,closed,No,28-06-2015
371829,No Service,Hardware issues,29-06-2015,11:23:38,Internet,Alpharetta,Georgia,30005,closed,No,09-07-2015
373874,Comcast,Miscellaneous,30-06-2015,00:24:57,Customer Care Call,Alvin,Texas,77511,closed,No,07-07-2015
300824,"INTERNET , BILLING AND SERVIE ISSUES",Billing issues,21-05-2015,09:34:19,Customer Care Call,Ambridge,Pennsylvania,15003,open,No,
348923,Comcast blocking DirecTv signals,Miscellaneous,18-06-2015,13:50:02,Customer Care Call,Ambridge,Pennsylvania,15003,open,No,
302574,pmts,Miscellaneous,21-05-2015,20:53:29,Internet,Amesbury,Massachusetts,1913,open,No,
343346,Slow Internet Speed,Speed issues,16-06-2015,13:45:58,Internet,Amherst,New Hampshire,3031,open,No,
286768,not getting what I am paying for with internet,Hardware issues,05-12-2015,21:06:01,Customer Care Call,Andover,Minnesota,55304,closed,No,16-12-2015
223179,Comcast bandwidth every evening drops to 10% of what is promised to our business,Miscellaneous,04-08-2015,01:04:24,Internet,Angels Camp,California,95222,closed,No,16-08-2015
235980,isp dishonest about speeds,Speed issues,14-04-2015,20:57:50,Customer Care Call,Angels Camp,California,95222,closed,No,21-04-2015
236469,Deceptive sales- change in billing amount etc.,Billing issues,15-04-2015,10:16:14,Internet,Ann Arbor,Michigan,48104,closed,No,20-04-2015
288602,Comcast Billing Dispute,Miscellaneous,13-05-2015,18:20:32,Internet,Ann Arbor,Michigan,48105,closed,No,24-05-2015
309379,Comcast,Miscellaneous,27-05-2015,13:50:37,Internet,Ann Arbor,Michigan,48105,closed,No,06-06-2015
351079,Comcast Billing and Service Issues,Billing issues,19-06-2015,09:19:46,Internet,Ann Arbor,Michigan,48105,closed,No,24-06-2015
366705,Cable prices rising,Billing issues,25-06-2015,18:17:58,Internet,Ann Arbor,Michigan,48103,closed,No,30-06-2015
366705,Cable prices rising,Billing issues,25-06-2015,18:17:58,Internet,Ann Arbor,Michigan,48103,closed,No,30-06-2015
368705,service issues,Hardware issues,26-06-2015,15:56:18,Internet,Annapolis,Maryland,21401,closed,No,08-07-2015
347369,HBO GO on Playstation 4,Miscellaneous,17-06-2015,20:41:23,Internet,Annville,Pennsylvania,17003,closed,No,24-06-2015
291784,internet connectivity,Speed issues,15-05-2015,13:07:11,Customer Care Call,Anoka,Minnesota,55303,closed,No,23-05-2015
308478,Email issues,Miscellaneous,26-05-2015,21:45:02,Customer Care Call,Antioch,California,94509,closed,No,07-06-2015
309851,Monopoly,Miscellaneous,27-05-2015,16:24:46,Internet,Antioch,Tennessee,37013,closed,No,10-06-2015
367342,Complaint against Xfinity/Comcast,Miscellaneous,26-06-2015,02:38:50,Internet,Aptos,California,95003,closed,No,11-07-2015
227209,Comcast credit after cancellation has not been received after more than a year,Miscellaneous,04-09-2015,16:40:05,Customer Care Call,Arlington,Virginia,22202,closed,No,14-09-2015
266376,Comcast False Promises,Miscellaneous,30-04-2015,13:06:52,Internet,Arlington,Virginia,22206,closed,No,10-05-2015
325273,Comcast Blocking UDP Port 443,Miscellaneous,06-05-2015,13:02:10,Customer Care Call,Arlington,Virginia,22206,closed,Yes,13-05-2015
342435,Issues with Comcast,Miscellaneous,15-06-2015,22:39:15,Internet,Arlington,Virginia,22206,closed,No,30-06-2015
348514,Comcast Refuses to Schedule a Future Service Stoppage,Miscellaneous,18-06-2015,12:02:57,Internet,Arlington,Virginia,22204,closed,No,25-06-2015
352100,Comcast,Miscellaneous,19-06-2015,14:36:57,Internet,Arlington,Virginia,22206,open,No,
355887,Overbilling,Billing issues,22-06-2015,13:45:40,Customer Care Call,Arlington,Virginia,22207,closed,Yes,29-06-2015
356118,"Comcast - failure to provide service, refusal to void contract",Miscellaneous,22-06-2015,14:41:05,Customer Care Call,Arlington,Virginia,22206,closed,No,01-07-2015
363869,Spotty Comcast service,Miscellaneous,25-06-2015,08:03:27,Customer Care Call,Arlington,Virginia,22202,closed,No,06-07-2015
369398,without service despite willingness to pay,Miscellaneous,26-06-2015,21:09:12,Customer Care Call,Arlington,Virginia,22204,open,No,
226231,Issues with Xfinity/Comcast,Miscellaneous,04-09-2015,12:24:32,Customer Care Call,Arlington Heights,Illinois,60004,closed,No,20-09-2015
241880,Cable Modem rent for Internet access,Billing issues,17-04-2015,15:48:16,Internet,Arlington Heights,Illinois,60004,closed,No,24-04-2015
360187,Comcast/Xfinity,Miscellaneous,23-06-2015,21:27:28,Customer Care Call,Arvada,Colorado,80004,closed,No,08-07-2015
223960,Speed issues,Speed issues,04-08-2015,12:53:45,Internet,Ashland,Virginia,23005,closed,No,12-08-2015
355934,AT&T,Miscellaneous,22-06-2015,13:58:04,Customer Care Call,Athens,Tennessee,37303,closed,No,01-07-2015
211976,Fraudulent claims reported to collections agency,Miscellaneous,04-01-2015,13:26:53,Customer Care Call,Atlanta,Georgia,30312,closed,No,19-01-2015
243998,Comcast using a Data Cap to take however much money they like,Miscellaneous,19-04-2015,22:49:13,Internet,Atlanta,Georgia,30097,closed,No,27-04-2015
265755,Comcast Data Cap,Miscellaneous,30-04-2015,08:50:19,Customer Care Call,Atlanta,Georgia,30339,closed,No,13-05-2015
230907,Speed of service,Speed issues,04-11-2015,20:30:03,Customer Care Call,Atlanta,Georgia,30319,closed,No,11-11-2015
231273,Comcast's Monopolistic Practices and Data Capping,Miscellaneous,04-12-2015,15:22:03,Internet,Atlanta,Georgia,30315,closed,No,20-12-2015
231292,"Comcast data cap ""trials""",Miscellaneous,04-12-2015,15:45:26,Internet,Atlanta,Georgia,30316,closed,No,22-12-2015
231377,Comcast billing problem,Billing issues,04-12-2015,18:18:10,Internet,Atlanta,Georgia,30308,closed,No,12-12-2015
252681,Comcast Needs Competition,Miscellaneous,23-04-2015,14:26:10,Customer Care Call,Atlanta,Georgia,30315,closed,No,05-05-2015
268101,Comcast services/billing issues,Billing issues,05-01-2015,10:00:59,Customer Care Call,Atlanta,Georgia,30316,closed,No,12-01-2015
269066,Incorrect Bill,Billing issues,05-01-2015,15:43:37,Customer Care Call,Atlanta,Georgia,30317,closed,No,10-01-2015
273420,Legality of data caps,Miscellaneous,05-05-2015,11:58:26,Internet,Atlanta,Georgia,30315,closed,No,20-05-2015
278509,Data caps,Miscellaneous,05-07-2015,14:55:45,Internet,Atlanta,Georgia,30363,open,No,
279656,Comcast Added Service After I Declined It,Miscellaneous,05-08-2015,08:47:45,Internet,Atlanta,Georgia,30345,closed,No,15-08-2015
288771,Comcast Misled With Overage Policy,Miscellaneous,13-05-2015,19:55:53,Internet,Atlanta,Georgia,30317,open,No,
293512,Cable service and telephone connect not complete,Hardware issues,16-05-2015,16:29:33,Customer Care Call,Atlanta,Georgia,30311,closed,Yes,24-05-2015
297104,Comcast data cap,Miscellaneous,19-05-2015,13:51:11,Customer Care Call,Atlanta,Georgia,30305,closed,No,01-06-2015
303412,Comcast Won't Cancel My Service,Miscellaneous,22-05-2015,13:09:51,Customer Care Call,Atlanta,Georgia,30318,closed,No,01-06-2015
304450,Data Caps,Miscellaneous,23-05-2015,00:05:55,Internet,Atlanta,Georgia,30318,open,No,
305137,Comcast disconnecting service before due date,Miscellaneous,23-05-2015,23:34:43,Internet,Atlanta,Georgia,30324,open,No,
305982,comcast data cap,Miscellaneous,25-05-2015,15:34:56,Internet,Atlanta,Georgia,30309,open,No,
307799,Comcast,Miscellaneous,26-05-2015,16:29:57,Customer Care Call,Atlanta,Georgia,30318,closed,No,17-06-2015
308171,Unbelievable Treatment,Miscellaneous,26-05-2015,18:40:25,Customer Care Call,Atlanta,Georgia,30310,closed,No,05-06-2015
312746,Denial of Comcast Business (Phone and internet) Service to my dental practice,Speed issues,28-05-2015,22:35:40,Customer Care Call,Atlanta,Georgia,30324,closed,No,07-06-2015
311725,Comcast's Terrible Service - How are they still in business?,Miscellaneous,28-05-2015,14:46:47,Internet,Atlanta,Georgia,30309,closed,No,05-06-2015
313949,they are forcing me for my bank account information by susOpen my services for no reason (I also feel like they are committing corporate theft).,Miscellaneous,29-05-2015,15:56:01,Internet,Atlanta,Georgia,30314,closed,No,10-06-2015
315173,Comcast discontinuation of service issue,Miscellaneous,30-05-2015,15:27:41,Customer Care Call,Atlanta,Georgia,30312,open,No,
317945,Comcast customer service,Miscellaneous,06-01-2015,21:32:46,Customer Care Call,Atlanta,Georgia,30329,closed,No,20-01-2015
318301,Comcast,Miscellaneous,06-02-2015,10:06:22,Customer Care Call,Atlanta,Georgia,30315,closed,No,22-02-2015
322511,"Comcast bandwidth data caps in Atlanta, GA",Miscellaneous,03-06-2015,23:59:33,Internet,Atlanta,Georgia,30341,closed,Yes,16-06-2015
322882,Comcast won't quit charging me for modem rental,Billing issues,04-06-2015,10:58:18,Internet,Atlanta,Georgia,30317,closed,No,14-06-2015
323473,Comcast download caps,Miscellaneous,11-06-2015,14:18:03,Internet,Atlanta,Georgia,30345,closed,No,04-07-2015
325596,Horrible Comcast Customer Service,Miscellaneous,05-06-2015,14:46:43,Customer Care Call,Atlanta,Georgia,30339,closed,No,12-06-2015
327291,Data Cap,Miscellaneous,07-06-2015,10:01:52,Internet,Atlanta,Georgia,30309,closed,No,16-07-2015
334035,Bad Customer Service,Miscellaneous,10-06-2015,22:24:00,Internet,Atlanta,Georgia,30331,closed,No,29-06-2015
340637,disconnection of service,Hardware issues issues,15-06-2015,10:56:55,Customer Care Call,Atlanta,Georgia,30306,closed,No,30-06-2015
341535,Comcast Data Usage Charges,Billing issues,15-06-2015,15:39:09,Customer Care Call,Atlanta,Georgia,30309,open,No,
350016,Comcast refuses service to my address,Miscellaneous,18-06-2015,16:45:38,Customer Care Call,Atlanta,Georgia,30318,closed,No,30-06-2015
349567,Comcast will not let me discuss my bill or service with a representative,Miscellaneous,18-06-2015,15:36:45,Customer Care Call,Atlanta,Georgia,30324,closed,No,23-06-2015
349716,Comcast billing frauds,Billing issues,18-06-2015,15:53:05,Internet,Atlanta,Georgia,30328,closed,No,07-07-2015
354254,Comcast TV/Internet hookup,Hardware issues,20-06-2015,19:16:33,Internet,Atlanta,Georgia,30341,closed,No,07-07-2015
355121,no service for 5+ days,Miscellaneous,22-06-2015,09:05:33,Internet,Atlanta,Georgia,30341,closed,No,07-07-2015
357856,Comcast - Billing,Billing issues,23-06-2015,11:35:54,Customer Care Call,Atlanta,Georgia,30363,open,No,
359719,Comcast Internet,Speed issues,23-06-2015,18:27:47,Customer Care Call,Atlanta,Georgia,30307,closed,No,29-06-2015
359260,Comcast speed integrity,Speed issues,23-06-2015,16:30:18,Customer Care Call,Atlanta,Georgia,30308,open,No,
358601,Data cap,Miscellaneous,23-06-2015,14:21:23,Internet,Atlanta,Georgia,30306,open,No,
362076,Comcast Atlanta Data Caps,Miscellaneous,24-06-2015,14:13:31,Internet,Atlanta,Georgia,30306,open,No,
362097,Comcast Atlanta Data Caps,Miscellaneous,24-06-2015,14:18:32,Internet,Atlanta,Georgia,30324,open,No,
363616,COMCAST Poor Customer Service,Miscellaneous,24-06-2015,22:28:58,Internet,Atlanta,Georgia,30345,open,No,
361720,Overage on 300GB data plan with Comcast,Billing issues,24-06-2015,12:39:59,Customer Care Call,Atlanta,Georgia,30306,closed,No,08-07-2015
362223,Comcast bill,Billing issues,24-06-2015,14:43:13,Customer Care Call,Atlanta,Georgia,30316,closed,No,07-07-2015
363102,Comcast Data Cap,Miscellaneous,24-06-2015,18:24:57,Customer Care Call,Atlanta,Georgia,30328,open,No,
363235,Unfair Billing Practices,Billing issues,24-06-2015,19:12:16,Internet,Atlanta,Georgia,30307,closed,No,07-09-2015
363424,Comcast data caps,Miscellaneous,24-06-2015,20:42:06,Customer Care Call,Atlanta,Georgia,30327,closed,No,07-07-2015
365321,Comcast Refusing to Honor Internet Rate,Billing issues,25-06-2015,14:08:35,Internet,Atlanta,Georgia,30324,closed,No,07-07-2015
363860,speed,Speed issues,25-06-2015,07:33:58,Internet,Atlanta,Georgia,30316,open,No,
368838,Not Acceptable Internet Additional Charge.,Billing issues,26-06-2015,16:42:51,Customer Care Call,Atlanta,Georgia,30339,closed,No,10-07-2015
367718,Comcast internet and cable service,Hardware issues,26-06-2015,11:02:54,Customer Care Call,Atlanta,Georgia,30316,open,Yes,
370846,"Comcast deceptive advertising, overage charges",Billing issues,28-06-2015,12:08:05,Internet,Atlanta,Georgia,30329,open,No,
372331,Comcast Data Caps,Miscellaneous,29-06-2015,13:49:15,Internet,Atlanta,Georgia,30324,open,Yes,
373205,Comcast: Xfinity Slamming,Miscellaneous,29-06-2015,17:41:37,Internet,Atlanta,Georgia,30315,closed,No,11-07-2015
375377,Comcast Support Unable to Provide Accurate Information,Miscellaneous,30-06-2015,16:17:34,Internet,Atlanta,Georgia,30328,open,No,
373977,Comcast Data Usage Limits,Miscellaneous,30-06-2015,08:14:37,Internet,Atlanta,Georgia,30342,open,No,
344456,Repeated Erroneous Modem Rental Charge,Billing issues,16-06-2015,20:17:10,Customer Care Call,Atlanta,Georgia,30308,closed,No,18-07-2015
374159,Xfinity pricing,Billing issues,30-06-2015,10:33:18,Customer Care Call,Atlantic Beach,Florida,32233,closed,No,12-07-2015
359224,Comcast monopoly,Miscellaneous,23-06-2015,16:22:19,Internet,Attalla,Alabama,35954,closed,No,13-07-2015
274956,Internet connection both upload and download speeds,Speed issues,05-05-2015,19:34:03,Customer Care Call,Attica,Indiana,47918,open,No,
338651,Internet Availability,Speed issues,13-06-2015,01:07:20,Internet,Attica,Michigan,48412,open,No,
369453,"Comcast ""50 mb/s"" speed and throttling",Speed issues,26-06-2015,22:15:55,Internet,Auburn,Georgia,30011,open,No,
221984,Complaint against Comcast,Miscellaneous,07-04-2015,14:43:14,Internet,Auburn,Pennsylvania,17922,closed,No,06-07-2015
346885,Comcast,Miscellaneous,17-06-2015,18:17:59,Internet,Auburn,Washington,98092,open,No,
359070,Comcast (Xfinity) Monopolistic Billing Practices,Billing issues,23-06-2015,15:49:46,Internet,Auburn,Washington,98092,closed,No,10-07-2015
372769,Internet Throttling,Speed issues,29-06-2015,15:47:44,Internet,Auburn,Washington,98092,closed,No,07-07-2015
311239,Data Usage Overage,Miscellaneous,28-05-2015,12:16:01,Internet,Augusta,Georgia,30907,closed,Yes,08-06-2015
339371,double billing after change of service,Billing issues,13-06-2015,17:24:59,Internet,Augusta,Georgia,30904,closed,Yes,25-06-2015
360222,Bandwidth Caps becoming excessive,Miscellaneous,23-06-2015,21:36:55,Internet,Augusta,Georgia,30907,closed,No,07-07-2015
370518,Comcast data limits,Miscellaneous,27-06-2015,20:32:23,Customer Care Call,Augusta,Georgia,30904,closed,Yes,07-07-2015
335988,Unable to cancel xfinity home security,Miscellaneous,11-06-2015,21:11:33,Customer Care Call,Aurora,Colorado,80012,closed,No,08-07-2015
361604,Comcast trying to setup stuff we didn't order,Miscellaneous,24-06-2015,12:16:47,Customer Care Call,Aurora,Colorado,80011,closed,No,07-07-2015
369583,Terrible waiting times,Hardware issues,27-06-2015,01:21:11,Internet,Aurora,Colorado,80014,closed,Yes,07-07-2015
342399,Incorrect prices for new customers,Billing issues,15-06-2015,21:50:41,Customer Care Call,Aurora,Illinois,60503,open,No,22-07-2015
359858,Comcast is throttling my internet,Miscellaneous,23-06-2015,19:16:40,Customer Care Call,Aurora,Illinois,60503,open,No,07-07-2015
363993,Internet Pricing,Billing issues,25-06-2015,09:30:43,Customer Care Call,Aurora,Illinois,60502,open,No,09-07-2015
223256,MISC. CHARGES,Billing issues,04-08-2015,07:51:06,Customer Care Call,Austell,Georgia,30106,closed,No,11-08-2015
375093,Comast data cap,Miscellaneous,30-06-2015,15:07:14,Customer Care Call,Austell,Georgia,30168,open,No,07-07-2015
347937,Comcast throttles internet,Miscellaneous,18-06-2015,09:15:45,Customer Care Call,Austin,Texas,78731,open,No,23-06-2015
360286,throttling,Miscellaneous,23-06-2015,22:07:17,Internet,Avon,Colorado,81620,open,Yes,02-07-2015
279378,Forced Bundling of Internet Service with CATV,Billing issues,05-07-2015,21:16:13,Customer Care Call,Ayer,Massachusetts,1432,open,No,12-07-2015
301854,Comcast Internet,Miscellaneous,21-05-2015,16:31:00,Customer Care Call,Baden,Pennsylvania,15005,closed,Yes,02-06-2015
306805,Failure to deliver service,Hardware issues,26-05-2015,11:29:54,Customer Care Call,Bainbridge Island,Washington,98110,closed,No,07-06-2015
373653,Comcast HBO Go PS4 app,Miscellaneous,29-06-2015,20:40:56,Customer Care Call,Bainbridge Island,Washington,98110,open,No,07-07-2015
304583,Comcast's refusal to recognize written notice of termination of service,Miscellaneous,23-05-2015,10:37:56,Customer Care Call,Bala Cynwyd,Pennsylvania,19004,closed,No,07-06-2015
324795,Rates,Billing issues,06-05-2015,09:59:39,Internet,Bala Cynwyd,Pennsylvania,19004,closed,No,12-05-2015
348338,Termination Fee,Billing issues,18-06-2015,11:14:49,Internet,Ballston Lake,New York,12019,closed,No,27-06-2015
241422,Comcast internet/cable,Hardware issues,17-04-2015,13:21:20,Internet,Baltimore,Maryland,21224,closed,No,27-04-2015
252368,I AM BEING CHARGE DOUBLE FOR MY CABLE BILL.,Billing issues,23-04-2015,12:56:29,Customer Care Call,Baltimore,Maryland,21207,open,No,02-05-2015
259003,REPEATED Comcast billing issues,Billing issues,27-04-2015,13:35:21,Customer Care Call,Baltimore,Maryland,21239,closed,No,05-05-2015
312881,unauthorized comcast username setup,Hardware issues,29-05-2015,06:31:23,Customer Care Call,Baltimore,Maryland,21206,open,No,07-06-2015
319505,Services turned off in retaliation for complaints,Miscellaneous,06-02-2015,17:14:14,Customer Care Call,Baltimore,Maryland,21218,closed,No,17-02-2015
342923,Comcast does not disclose the Internet speed I'm paying for anywhere on my bill or online,Billing issues,16-06-2015,11:17:13,Customer Care Call,Baltimore,Maryland,21218,open,No,25-06-2015
343096,Internet speeds disclosure on bill,Billing issues,16-06-2015,12:11:39,Internet,Baltimore,Maryland,21218,closed,No,27-06-2015
343625,Internet speed not disClosed,Miscellaneous,16-06-2015,15:09:53,Customer Care Call,Baltimore,Maryland,21237,closed,No,27-06-2015
348974,Intermittent Service,Miscellaneous,18-06-2015,14:04:40,Customer Care Call,Baltimore,Maryland,21209,closed,No,27-06-2015
356080,Comcast billing practices,Billing issues,22-06-2015,14:31:19,Internet,Baltimore,Maryland,21218,closed,No,04-07-2015
360196,monopoly,Miscellaneous,23-06-2015,21:28:56,Internet,Baltimore,Maryland,21225,closed,No,05-07-2015
358485,Consistently Slow and Throttled Internet Speeds,Miscellaneous,23-06-2015,13:56:14,Internet,Baltimore,Maryland,21217,open,No,07-07-2015
360378,Paying for high speed internet with Comcast. Consistently getting slow service.,Billing issues,23-06-2015,22:37:16,Internet,Baltimore,Maryland,21202,open,No,05-07-2015
357904,Comcast Monopoly on Packages is costing me more money for same service,Billing issues,23-06-2015,11:49:09,Customer Care Call,Baltimore,Maryland,21212,closed,No,01-07-2015
361480,"hidden fees, dropped internet connection",Billing issues,24-06-2015,11:43:44,Internet,Baltimore,Maryland,21224,closed,Yes,03-07-2015
364840,COMCAST HIGH SPEED INTERNET MONOPOLY,Miscellaneous,25-06-2015,12:58:48,Internet,Baltimore,Maryland,21224,closed,No,07-07-2015
368793,ComCast cable In Maryland,Miscellaneous,26-06-2015,16:25:27,Customer Care Call,Baltimore,Maryland,21222,closed,No,06-07-2015
370296,Billing Dispute & Poor Customer Service,Billing issues,27-06-2015,17:21:39,Internet,Baltimore,Maryland,21239,closed,No,08-07-2015
373716,Comcast change contract,Miscellaneous,29-06-2015,21:27:12,Customer Care Call,Baltimore,Maryland,21239,closed,Yes,07-07-2015
360325,Comcast throttle,Miscellaneous,23-06-2015,22:16:47,Customer Care Call,Bargersville,Indiana,46106,open,No,02-07-2015
249688,Xfinity WiFi access,Hardware issues,22-04-2015,10:53:59,Internet,Barnegat,New Jersey,8005,closed,No,07-05-2015
270364,"No internet, no cable",Hardware issues,05-02-2015,21:14:09,Customer Care Call,Barrington,Illinois,60010,open,No,13-02-2015
256911,Internet service slow and intermittent,Hardware issues,25-04-2015,13:09:19,Customer Care Call,Bartlett,Tennessee,38133,closed,No,05-05-2015
332159,Comcast Account,profile,06-10-2015,10:09:01,Customer Care Call,Bartlett,Tennessee,38135,closed,No,13-10-2015
294386,Week long issues with speed and no help from comcast,Hardware issues,18-05-2015,09:36:31,Internet,Bartonville,Illinois,61607,closed,No,27-05-2015
327139,Data Usage Cap Maine,Hardware issues,06-06-2015,20:04:42,Customer Care Call,Bath,Maine,4530,open,No,17-06-2015
360806,Comcasts Shady Business Practices,Billing issues,24-06-2015,03:43:45,Internet,Battle Ground,Washington,98604,open,Yes,05-07-2015
375249,Comcast cable,Hardware issues,30-06-2015,15:47:29,Internet,Beach Haven,New Jersey,8008,open,No,09-07-2015
373009,Comcast Pricing,Billing issues,29-06-2015,16:50:06,Internet,Beachwood,New Jersey,8722,open,No,07-07-2015
229055,Comcast Complaint,Miscellaneous,04-10-2015,14:35:54,Internet,Beale Afb,California,95903,closed,No,13-10-2015
365445,CABLE,Hardware issues,25-06-2015,14:25:23,Internet,Beaver Falls,Pennsylvania,15010,closed,No,07-07-2015
252877,Comcast Charges,Billing issues,23-04-2015,15:20:54,Customer Care Call,Beaverton,Oregon,97005,open,No,04-05-2015
316088,Comcast,Miscellaneous,31-05-2015,23:02:38,Customer Care Call,Beaverton,Oregon,97006,open,No,07-06-2015
297569,Internet needed!,Hardware issues,19-05-2015,16:23:00,Internet,Bedford,Indiana,47421,closed,No,27-05-2015
282375,Deceptive Practices,Miscellaneous,05-10-2015,09:54:33,Internet,Bedford,Pennsylvania,15522,closed,No,17-10-2015
249174,Comcast fraud,Miscellaneous,21-04-2015,21:56:13,Internet,Bel Air,Maryland,21014,closed,No,07-05-2015
327919,Complaint CR Comcast Problem - VOIP Phone not working for days,Hardware issues,06-08-2015,10:23:24,Internet,Bel Air,Maryland,21014,closed,No,13-08-2015
238313,Comcast,Miscellaneous,15-04-2015,21:40:42,Internet,Belleville,Michigan,48111,closed,No,27-04-2015
226213,Double-billing,Billing issues,04-09-2015,12:15:51,Internet,Bellevue,Washington,98004,closed,No,19-09-2015
216441,download speeds slower than dial-up but paying for 25 Mbps,Speed issues,04-03-2015,13:41:50,Internet,Bellevue,Washington,98006,closed,No,11-03-2015
364301,Comcast billing error,Billing issues,25-06-2015,11:33:32,Internet,Bellingham,Washington,98229,closed,Yes,07-07-2015
367375,Comcast Internet Technical Support,Miscellaneous,26-06-2015,04:54:18,Internet,Bellingham,Washington,98225,closed,No,03-07-2015
235996,Comcast Blocking HBOGo on PS4,Miscellaneous,14-04-2015,21:08:59,Customer Care Call,Belmont,California,94002,closed,No,22-04-2015
